,num,lon,lat,latlon,notes,location,spininital,spinfinish,runs,x,y,umw
176,176,-80.25,48.75,lat48.75lon-80.25,1.5-degree,geo,14-Sep-16,24-Sep-16,9-Oct-16,1.2203974022,1.3582259115,n
177,177,-78.75,48.75,lat48.75lon-78.75,1.5-degree,geo,15-Sep-16,24-Sep-16,8-Oct-16,1.3305506392,1.363366797,n
178,178,-75.75,48.75,lat48.75lon-75.75,1.5-degree,geo,15-Sep-16,23-Sep-16,3-Oct-16,1.5504734624,1.3798098666,n
179,179,-74.25,48.75,lat48.75lon-74.25,1.5-degree,geo,15-Sep-16,22-Sep-16,2-Oct-16,1.6601664629,1.3911063244,n
180,180,-72.75,48.75,lat48.75lon-72.75,1.5-degree,geo,15-Sep-16,22-Sep-16,5-Oct-16,1.7696295681,1.4044477236,n
181,181,-71.25,48.75,lat48.75lon-71.25,1.5-degree,geo,16-Sep-16,20-Sep-16,1-Oct-16,1.8788246587,1.4198294183,n
182,182,-66.75,48.75,lat48.75lon-66.75,1.5-degree,geo,ERROR,,,2.2044221293,1.4781591687,n
183,183,-65.25,48.75,lat48.75lon-65.25,1.5-degree,geo,ERROR,,,2.3121660337,1.5016414044,n
184,184,-98.25,35.25,lat35.25lon-98.25,1.5-degree,geo,11-Oct-16,17-Oct-16,25-Oct-16,-0.3741170704,-0.0137031826,n
185,185,-96.75,35.25,lat35.25lon-96.75,1.5-degree,geo,11-Oct-16,17-Oct-16,25-Oct-16,-0.2380855388,-0.0380775948,n
186,186,-95.25,35.25,lat35.25lon-95.25,1.5-degree,geo,11-Oct-16,13-Oct-16,25-Oct-16,-0.1016228581,-0.0599093689,n
187,187,-93.75,35.25,lat35.25lon-93.75,1.5-degree,geo,12-Oct-16,16-Oct-16,24-Oct-16,0.0352234501,-0.079190902,n
188,188,-90.75,35.25,lat35.25lon-90.75,1.5-degree,geo,12-Oct-16,17-Oct-16,24-Oct-16,0.3098762112,-0.1100772776,n
189,189,-89.25,35.25,lat35.25lon-89.25,1.5-degree,geo,12-Oct-16,16-Oct-16,24-Oct-16,0.4475870195,-0.1216713643,n
