"lon","lat","latlon","umw","x","y","stab.pdsi.ann","stab.pdsi.ann.cent","stab.tair.ann","stab.tair.ann.cent","stab.tair.jja","stab.tair.jja.cent","stab.precip.ann","stab.precip.ann.cent","stab.precip.jja","stab.precip.jja.cent"
-89.75,42.75,"lat42.75lon-89.75","y",0.4686098416,0.7078404515,6966.48614270513,5.45111605564331e-07,4632.70980740802,2.93751902406412e-09,4614.0892207256,8.84161283046191e-09,5.81189190190563e-08,1.06098087083108e-19,3.77342205498179e-07,5.69211184864796e-19
-84.75,42.75,"lat42.75lon-84.75","y",0.8771584161,0.6874857322,4924.06459426855,1.2509771455721e-07,3890.615368864,1.33814341119131e-09,3234.59134558641,3.56998692602485e-09,4.99716246951373e-08,3.6287738804174e-20,2.16207787398306e-07,1.93864463891211e-19
-74.75,42.75,"lat42.75lon-74.75","n",1.6940989076,0.7230665458,4979.18603633445,1.97105279039071e-09,3138.38472076877,1.93977041616373e-09,2128.55673271613,3.03575691711104e-09,8.56357082413203e-08,1.51547055757819e-20,3.24360944178704e-07,1.16638927937978e-19
-97.25,45.25,"lat45.25lon-97.25","n",-0.0916612223,1.0598049349,1952.38419203904,2.09592605494398e-08,6517.49986274008,6.33374293894589e-09,5837.76299657748,6.18890904642641e-09,3.00925151568408e-08,3.64517955310205e-20,1.92484307131852e-07,1.99812285255765e-19
-92.25,45.25,"lat45.25lon-92.25","y",0.2960912272,1.003940444,1682.43476483474,4.88157908758267e-08,5090.90216368395,6.78856690979172e-09,4534.98046031713,8.26485445654236e-09,4.54863448913095e-08,3.38348281268587e-20,3.4820433057245e-07,1.81342054036673e-19
-77.25,45.25,"lat45.25lon-77.25","n",1.4696392493,0.9820177761,4342.41960791426,6.19727237545304e-09,3672.24338309605,2.0936689854398e-09,2942.96030106248,3.29280019091761e-09,3.54263363776986e-08,3.8678477716883e-21,1.26266493189515e-07,8.35902694182064e-20
-72.25,45.25,"lat45.25lon-72.25","n",1.8592076117,1.0233613905,6947.32055181931,2.66012538815908e-09,3408.64626015087,2.66361262505049e-09,2739.44925324496,5.41134032383716e-09,8.08355440731594e-08,1.57591436189246e-20,3.33147182904272e-07,2.13821677372481e-19
-67.25,45.25,"lat45.25lon-67.25","n",2.2454524033,1.0888424136,5175.37050738576,1.18333046384324e-08,2875.2977144909,1.91282495154578e-09,3028.73953760772,4.57078095521245e-09,9.39798228296295e-08,1.05157921127177e-19,2.57835767822825e-07,1.25444505168286e-19
-99.75,47.75,"lat47.75lon-99.75","n",-0.2273039475,1.3692602262,1561.798457694,2.01975726016733e-08,6909.43105655098,7.94973246619054e-09,5662.12259265992,1.06878865625856e-08,3.08996833404555e-08,3.44796885637937e-20,2.23275488663109e-07,1.84538328119598e-19
-94.75,47.75,"lat47.75lon-94.75","y",0.1414736753,1.3043650416,3621.57423944899,6.48498964096725e-06,5697.97626684753,7.14298948832604e-09,4735.57047738871,9.20907048673522e-09,4.07027475147418e-08,1.19646792062711e-20,2.97812005518995e-07,1.16555976610146e-19
-84.75,47.75,"lat47.75lon-84.75","n",0.8875523825,1.2438878425,4990.39548758638,1.63158624528624e-08,4609.23211579289,3.82935278663536e-09,3240.01772535596,2.42658283135385e-09,6.58626139649491e-08,4.38620099162312e-20,2.38958239237779e-07,2.03987205539602e-19
-79.75,47.75,"lat47.75lon-79.75","n",1.2619674992,1.2485397648,7540.99755596746,3.46378392531355e-08,4159.57332559026,2.64954443167636e-09,3985.09964652298,2.48140324704712e-09,4.28164746562448e-08,1.98587302494321e-20,2.22964316032139e-07,1.12737113860596e-19
-74.75,47.75,"lat47.75lon-74.75","n",1.6353692782,1.276458065,4308.30085817494,1.10582557891111e-09,3695.86236823969,2.96179976011553e-09,3603.89350688895,3.14307105409699e-09,5.26575095718308e-08,8.66134770015675e-21,2.44383655644747e-07,2.37188281877312e-19
-69.75,47.75,"lat47.75lon-69.75","n",2.0063133336,1.3275347502,4279.65885938385,1.72875527067185e-09,3221.07949530515,3.54803818089841e-09,3467.90558685487,4.87139175468247e-09,6.31486219967402e-08,3.08782872544651e-20,2.28800508015179e-07,8.3404642448633e-20
