"lon","lat","latlon","umw","x","y","domain.paleon","pc.all1","pc.all2","pc.setveg1","pc.setveg2","pc.setveg.mod1","pc.setveg.mod2","pc.umw1","pc.umw2","pc.umw.mod1","pc.umw.mod2"
-98.25,44.25,"lat44.25lon-98.25","n",-0.1894066359,0.9644869325,NA,-0.570607826120738,-2.6998930814576,NA,NA,NA,NA,NA,NA,NA,NA
-98.25,44.75,"lat44.75lon-98.25",NA,NA,NA,NA,-0.0966940505646255,-2.39901404433534,NA,NA,NA,NA,NA,NA,NA,NA
-98.25,45.25,"lat45.25lon-98.25",NA,NA,NA,NA,0.528734841596412,-2.50232669330068,NA,NA,NA,NA,NA,NA,NA,NA
-98.25,45.75,"lat45.75lon-98.25","n",-0.1584230486,1.1285699142,NA,0.0726017941513081,-2.68660895396055,NA,NA,NA,NA,NA,NA,NA,NA
-98.25,46.25,"lat46.25lon-98.25",NA,NA,NA,NA,0.138576169477646,-3.17811074610013,NA,NA,NA,NA,NA,NA,NA,NA
-98.25,46.75,"lat46.75lon-98.25",NA,NA,NA,NA,0.281137796009978,-3.14142977393147,NA,NA,NA,NA,NA,NA,NA,NA
-98.25,47.25,"lat47.25lon-98.25","n",-0.1274324934,1.2926897965,NA,0.380394913783567,-3.1438027740517,NA,NA,NA,NA,NA,NA,NA,NA
-98.25,47.75,"lat47.75lon-98.25",NA,NA,NA,NA,0.527639797180794,-3.13908526543608,NA,NA,NA,NA,NA,NA,NA,NA
-98.25,48.25,"lat48.25lon-98.25",NA,NA,NA,NA,0.68710108048628,-3.2051639047223,NA,NA,NA,NA,NA,NA,NA,NA
-98.25,48.75,"lat48.75lon-98.25","n",-0.09645717,1.456729014,NA,0.475413475681147,-2.9861935490119,NA,NA,NA,NA,NA,NA,NA,NA
-98.25,49.25,"lat49.25lon-98.25",NA,NA,NA,NA,0.513475825526435,-2.85475028443639,NA,NA,NA,NA,NA,NA,NA,NA
-98.25,49.75,"lat49.75lon-98.25",NA,NA,NA,NA,0.596198981296718,-3.05020936234614,NA,NA,NA,NA,NA,NA,NA,NA
-97.75,35.25,"lat35.25lon-97.75",NA,NA,NA,NA,-2.88662205013721,-2.11784939585959,NA,NA,NA,NA,NA,NA,NA,NA
-97.75,35.75,"lat35.75lon-97.75",NA,NA,NA,NA,-2.74043524648691,-1.81174015492035,NA,NA,NA,NA,NA,NA,NA,NA
-97.75,36.25,"lat36.25lon-97.75",NA,NA,NA,NA,-2.81720078266884,-1.67653966560362,NA,NA,NA,NA,NA,NA,NA,NA
-97.75,36.75,"lat36.75lon-97.75",NA,NA,NA,NA,-2.39817688370804,-1.82958110918212,NA,NA,NA,NA,NA,NA,NA,NA
-97.75,37.25,"lat37.25lon-97.75",NA,NA,NA,NA,-2.17718153293526,-1.85085643711692,NA,NA,NA,NA,NA,NA,NA,NA
-97.75,37.75,"lat37.75lon-97.75",NA,NA,NA,NA,-2.2321543642377,-1.62314592593859,NA,NA,NA,NA,NA,NA,NA,NA
-97.75,38.25,"lat38.25lon-97.75",NA,NA,NA,NA,-1.96027619611766,-1.43363598610029,NA,NA,NA,NA,NA,NA,NA,NA
-97.75,38.75,"lat38.75lon-97.75",NA,NA,NA,NA,-2.1052108605799,-1.20686615991193,NA,NA,NA,NA,NA,NA,NA,NA
-97.75,39.25,"lat39.25lon-97.75",NA,NA,NA,NA,-1.55932963948751,-1.1545509888806,NA,NA,NA,NA,NA,NA,NA,NA
-97.75,39.75,"lat39.75lon-97.75",NA,NA,NA,NA,-1.33229217696078,-1.21470313072219,NA,NA,NA,NA,NA,NA,NA,NA
-97.75,40.25,"lat40.25lon-97.75",NA,NA,NA,NA,-1.2150489490828,-1.27173504113314,NA,NA,NA,NA,NA,NA,NA,NA
-97.75,40.75,"lat40.75lon-97.75",NA,NA,NA,NA,-1.03502672502628,-1.15070858963962,NA,NA,NA,NA,NA,NA,NA,NA
-97.75,41.25,"lat41.25lon-97.75",NA,NA,NA,NA,-0.830184599778565,-1.10954052001481,NA,NA,NA,NA,NA,NA,NA,NA
-97.75,41.75,"lat41.75lon-97.75",NA,NA,NA,NA,-0.22853064585957,-1.61823474352111,NA,NA,NA,NA,NA,NA,NA,NA
-97.75,42.25,"lat42.25lon-97.75",NA,NA,NA,NA,-0.97438206431033,-2.05454188059022,NA,NA,NA,NA,NA,NA,NA,NA
-97.75,42.75,"lat42.75lon-97.75",NA,NA,NA,NA,-0.607954947862251,-2.28140713387942,NA,NA,NA,NA,NA,NA,NA,NA
-97.75,43.25,"lat43.25lon-97.75",NA,NA,NA,NA,-1.02615109481876,-2.58816970570049,NA,NA,NA,NA,NA,NA,NA,NA
-97.75,43.75,"lat43.75lon-97.75",NA,NA,NA,NA,-0.723793711605986,-2.49804287735866,NA,NA,NA,NA,NA,NA,NA,NA
-97.75,44.25,"lat44.25lon-97.75",NA,NA,NA,NA,-0.487336018113425,-2.33368782591022,NA,NA,NA,NA,NA,NA,NA,NA
-97.75,44.75,"lat44.75lon-97.75",NA,NA,NA,NA,0.219917575560066,-2.21159406897297,NA,NA,NA,NA,NA,NA,NA,NA
-97.75,45.25,"lat45.25lon-97.75",NA,NA,NA,NA,0.193883511075591,-2.604204445517,NA,NA,NA,NA,NA,NA,NA,NA
-97.75,45.75,"lat45.75lon-97.75",NA,NA,NA,NA,-0.000206892420276602,-2.93367734754732,NA,NA,NA,NA,NA,NA,NA,NA
-97.75,46.25,"lat46.25lon-97.75",NA,NA,NA,NA,0.0502492217220444,-3.08527876890001,NA,NA,NA,NA,NA,NA,NA,NA
-97.75,46.75,"lat46.75lon-97.75",NA,NA,NA,NA,0.245366274779372,-2.91709397171411,NA,NA,NA,NA,NA,NA,NA,NA
-97.75,47.25,"lat47.25lon-97.75",NA,NA,NA,NA,0.403779751423924,-3.00416523132015,NA,NA,NA,NA,NA,NA,NA,NA
-97.75,47.75,"lat47.75lon-97.75",NA,NA,NA,NA,0.679321804660521,-3.06211098821126,NA,NA,NA,NA,NA,NA,NA,NA
-97.75,48.25,"lat48.25lon-97.75",NA,NA,NA,NA,0.580391342257013,-3.07937098983758,NA,NA,NA,NA,NA,NA,NA,NA
-97.75,48.75,"lat48.75lon-97.75",NA,NA,NA,NA,1.03589258300354,-2.83064974284865,NA,NA,NA,NA,NA,NA,NA,NA
-97.75,49.25,"lat49.25lon-97.75",NA,NA,NA,NA,1.17185729074115,-2.82977090233439,NA,NA,NA,NA,NA,NA,NA,NA
-97.75,49.75,"lat49.75lon-97.75",NA,NA,NA,NA,1.2730312520891,-2.81324424879765,NA,NA,NA,NA,NA,NA,NA,NA
-97.25,35.25,"lat35.25lon-97.25","n",-0.2834796307,-0.0302349051,NA,-2.90532429322056,-1.73294179051216,NA,NA,NA,NA,NA,NA,NA,NA
-97.25,35.75,"lat35.75lon-97.25",NA,NA,NA,NA,-2.94186876284228,-1.39269980148143,NA,NA,NA,NA,NA,NA,NA,NA
-97.25,36.25,"lat36.25lon-97.25",NA,NA,NA,NA,-2.85222400834846,-1.30384213844633,NA,NA,NA,NA,NA,NA,NA,NA
-97.25,36.75,"lat36.75lon-97.25",NA,NA,NA,NA,-2.38867854014063,-1.3412656667213,NA,NA,NA,NA,NA,NA,NA,NA
-97.25,37.25,"lat37.25lon-97.25",NA,NA,NA,NA,-2.17692894023888,-1.22569747848009,NA,NA,NA,NA,NA,NA,NA,NA
-97.25,37.75,"lat37.75lon-97.25","n",-0.2358461445,0.2404502605,NA,-2.11428988487764,-0.97510955682829,NA,NA,NA,NA,NA,NA,NA,NA
-97.25,38.25,"lat38.25lon-97.25",NA,NA,NA,NA,-1.95255045520898,-0.858639785471829,NA,NA,NA,NA,NA,NA,NA,NA
-97.25,38.75,"lat38.75lon-97.25",NA,NA,NA,NA,-1.76891632523062,-0.516613988406809,NA,NA,NA,NA,NA,NA,NA,NA
-97.25,39.25,"lat39.25lon-97.25",NA,NA,NA,NA,-1.48933431495294,-0.578283546185746,NA,NA,NA,NA,NA,NA,NA,NA
-97.25,39.75,"lat39.75lon-97.25",NA,NA,NA,NA,-1.22483288494065,-0.74889684581714,NA,NA,NA,NA,NA,NA,NA,NA
-97.25,40.25,"lat40.25lon-97.25","n",-0.187953382,0.5126088069,NA,-1.24378503379887,-1.23496519789161,NA,NA,NA,NA,NA,NA,NA,NA
-97.25,40.75,"lat40.75lon-97.25",NA,NA,NA,NA,-1.09440115120901,-1.09241337887869,NA,NA,NA,NA,NA,NA,NA,NA
-97.25,41.25,"lat41.25lon-97.25",NA,NA,NA,NA,-0.700088628540183,-1.20875116227242,NA,NA,NA,NA,NA,NA,NA,NA
-97.25,41.75,"lat41.75lon-97.25",NA,NA,NA,NA,-0.295516228869323,-1.62248044134195,NA,NA,NA,NA,NA,NA,NA,NA
-97.25,42.25,"lat42.25lon-97.25",NA,NA,NA,NA,-0.405237712692124,-1.79942383107,NA,NA,NA,NA,NA,NA,NA,NA
-97.25,42.75,"lat42.75lon-97.25","n",-0.1398670837,0.7858671524,NA,-0.393121014875506,-2.01815286206528,NA,NA,NA,NA,NA,NA,NA,NA
-97.25,43.25,"lat43.25lon-97.25",NA,NA,NA,NA,-0.442740788848179,-2.22941329833884,NA,NA,NA,NA,NA,NA,NA,NA
-97.25,43.75,"lat43.75lon-97.25",NA,NA,NA,NA,-0.168932128970124,-2.05248087060986,NA,NA,NA,NA,NA,NA,NA,NA
-97.25,44.25,"lat44.25lon-97.25",NA,NA,NA,NA,0.19559761256654,-1.98493636359045,NA,NA,NA,NA,NA,NA,NA,NA
-97.25,44.75,"lat44.75lon-97.25",NA,NA,NA,NA,0.593816235562319,-1.962760422878,NA,NA,NA,NA,NA,NA,NA,NA
-97.25,45.25,"lat45.25lon-97.25","n",-0.0916612223,1.0598049349,NA,0.330102781311075,-2.41904433760289,NA,NA,NA,NA,NA,NA,NA,NA
-97.25,45.75,"lat45.75lon-97.25",NA,NA,NA,NA,-0.0145736994765157,-2.70602468235413,NA,NA,NA,NA,NA,NA,NA,NA
-97.25,46.25,"lat46.25lon-97.25",NA,NA,NA,NA,0.0441796074283605,-2.97549739583775,NA,NA,NA,NA,NA,NA,NA,NA
-97.25,46.75,"lat46.75lon-97.25",NA,NA,NA,NA,0.374705762043896,-2.7140268719663,NA,NA,NA,NA,NA,NA,NA,NA
